角度(度)	加速度(mm/s²)
0.0	-1628.100
1.0	-1627.371
2.0	-1626.146
3.0	-1624.426
4.0	-1622.212
5.0	-1619.503
6.0	-1616.300
7.0	-1612.606
8.0	-1608.420
9.0	-1603.744
10.0	-1598.580
11.0	-1592.929
12.0	-1586.792
13.0	-1580.173
14.0	-1573.072
15.0	-1565.491
16.0	-1557.434
17.0	-1548.903
18.0	-1539.899
19.0	-1530.427
20.0	-1520.488
21.0	-1510.086
22.0	-1499.225
23.0	-1487.906
24.0	-1476.135
25.0	-1463.913
26.0	-1451.246
27.0	-1438.137
28.0	-1424.589
29.0	-1410.608
30.0	-1396.197
31.0	-1381.361
32.0	-1366.104
33.0	-1350.431
34.0	-1334.346
35.0	-1317.855
36.0	-1300.963
37.0	-1283.674
38.0	-1265.994
39.0	-1247.929
40.0	-1229.483
41.0	-1210.663
42.0	-1191.474
43.0	-1171.923
44.0	-1152.014
45.0	-1131.754
46.0	-1111.150
47.0	-1090.207
48.0	-1068.932
49.0	-1047.332
50.0	-1025.412
51.0	-1003.180
52.0	-980.643
53.0	-957.807
54.0	-934.679
55.0	-911.266
56.0	-887.576
57.0	-863.615
58.0	-839.391
59.0	-814.912
60.0	-790.184
61.0	-765.216
62.0	-740.015
63.0	-714.588
64.0	-688.943
65.0	-663.089
66.0	-637.033
67.0	-610.782
68.0	-584.346
69.0	-557.732
70.0	-530.947
71.0	-504.001
72.0	-476.902
73.0	-449.657
74.0	-422.275
75.0	-394.765
76.0	-367.134
77.0	-339.392
78.0	-311.546
79.0	-283.605
80.0	-255.578
81.0	-227.473
82.0	-199.298
83.0	-171.063
84.0	-142.776
85.0	-114.446
86.0	-86.080
87.0	-57.688
88.0	-29.279
89.0	-0.861
90.0	27.558
91.0	55.968
92.0	84.361
93.0	112.728
94.0	141.061
95.0	169.351
96.0	197.589
97.0	225.768
98.0	253.877
99.0	281.909
100.0	309.855
101.0	337.707
102.0	365.456
103.0	393.094
104.0	420.612
105.0	448.002
106.0	475.255
107.0	502.364
108.0	529.319
109.0	556.114
110.0	582.739
111.0	609.186
112.0	635.448
113.0	661.516
114.0	687.383
115.0	713.040
116.0	738.481
117.0	763.696
118.0	788.678
119.0	813.421
120.0	837.916
121.0	862.155
122.0	886.132
123.0	909.838
124.0	933.268
125.0	956.414
126.0	979.268
127.0	1001.823
128.0	1024.074
129.0	1046.013
130.0	1067.633
131.0	1088.928
132.0	1109.891
133.0	1130.516
134.0	1150.796
135.0	1170.727
136.0	1190.300
137.0	1209.511
138.0	1228.354
139.0	1246.822
140.0	1264.911
141.0	1282.614
142.0	1299.926
143.0	1316.843
144.0	1333.358
145.0	1349.468
146.0	1365.166
147.0	1380.448
148.0	1395.310
149.0	1409.747
150.0	1423.755
151.0	1437.328
152.0	1450.464
153.0	1463.159
154.0	1475.407
155.0	1487.206
156.0	1498.552
157.0	1509.441
158.0	1519.871
159.0	1529.838
160.0	1539.339
161.0	1548.371
162.0	1556.931
163.0	1565.017
164.0	1572.626
165.0	1579.756
166.0	1586.405
167.0	1592.571
168.0	1598.252
169.0	1603.445
170.0	1608.151
171.0	1612.366
172.0	1616.091
173.0	1619.323
174.0	1622.062
175.0	1624.306
176.0	1626.056
177.0	1627.311
178.0	1628.070
179.0	1628.333
180.0	1628.100
181.0	1627.371
182.0	1626.146
183.0	1624.426
184.0	1622.212
185.0	1619.503
186.0	1616.300
187.0	1612.606
188.0	1608.420
189.0	1603.744
190.0	1598.580
191.0	1592.929
192.0	1586.792
193.0	1580.173
194.0	1573.072
195.0	1565.491
196.0	1557.434
197.0	1548.903
198.0	1539.899
199.0	1530.427
200.0	1520.488
201.0	1510.086
202.0	1499.225
203.0	1487.906
204.0	1476.135
205.0	1463.913
206.0	1451.246
207.0	1438.137
208.0	1424.589
209.0	1410.608
210.0	1396.197
211.0	1381.361
212.0	1366.104
213.0	1350.431
214.0	1334.346
215.0	1317.855
216.0	1300.963
217.0	1283.674
218.0	1265.994
219.0	1247.929
220.0	1229.483
221.0	1210.663
222.0	1191.474
223.0	1171.923
224.0	1152.014
225.0	1131.754
226.0	1111.150
227.0	1090.207
228.0	1068.932
229.0	1047.332
230.0	1025.412
231.0	1003.180
232.0	980.643
233.0	957.807
234.0	934.679
235.0	911.266
236.0	887.576
237.0	863.615
238.0	839.391
239.0	814.912
240.0	790.184
241.0	765.216
242.0	740.015
243.0	714.588
244.0	688.943
245.0	663.089
246.0	637.033
247.0	610.782
248.0	584.346
249.0	557.732
250.0	530.947
251.0	504.001
252.0	476.902
253.0	449.657
254.0	422.275
255.0	394.765
256.0	367.134
257.0	339.392
258.0	311.546
259.0	283.605
260.0	255.578
261.0	227.473
262.0	199.298
263.0	171.063
264.0	142.776
265.0	114.446
266.0	86.080
267.0	57.688
268.0	29.279
269.0	0.861
270.0	-27.558
271.0	-55.968
272.0	-84.361
273.0	-112.728
274.0	-141.061
275.0	-169.351
276.0	-197.589
277.0	-225.768
278.0	-253.877
279.0	-281.909
280.0	-309.855
281.0	-337.707
282.0	-365.456
283.0	-393.094
284.0	-420.612
285.0	-448.002
286.0	-475.255
287.0	-502.364
288.0	-529.319
289.0	-556.114
290.0	-582.739
291.0	-609.186
292.0	-635.448
293.0	-661.516
294.0	-687.383
295.0	-713.040
296.0	-738.481
297.0	-763.696
298.0	-788.678
299.0	-813.421
300.0	-837.916
301.0	-862.155
302.0	-886.132
303.0	-909.838
304.0	-933.268
305.0	-956.414
306.0	-979.268
307.0	-1001.823
308.0	-1024.074
309.0	-1046.013
310.0	-1067.633
311.0	-1088.928
312.0	-1109.891
313.0	-1130.516
314.0	-1150.796
315.0	-1170.727
316.0	-1190.300
317.0	-1209.511
318.0	-1228.354
319.0	-1246.822
320.0	-1264.911
321.0	-1282.614
322.0	-1299.926
323.0	-1316.843
324.0	-1333.358
325.0	-1349.468
326.0	-1365.166
327.0	-1380.448
328.0	-1395.310
329.0	-1409.747
330.0	-1423.755
331.0	-1437.328
332.0	-1450.464
333.0	-1463.159
334.0	-1475.407
335.0	-1487.206
336.0	-1498.552
337.0	-1509.441
338.0	-1519.871
339.0	-1529.838
340.0	-1539.339
341.0	-1548.371
342.0	-1556.931
343.0	-1565.017
344.0	-1572.626
345.0	-1579.756
346.0	-1586.405
347.0	-1592.571
348.0	-1598.252
349.0	-1603.445
350.0	-1608.151
351.0	-1612.366
352.0	-1616.091
353.0	-1619.323
354.0	-1622.062
355.0	-1624.306
356.0	-1626.056
357.0	-1627.311
358.0	-1628.070
359.0	-1628.333
