角度(度)	位移(mm)
0.0	166.061
1.0	165.987
2.0	165.863
3.0	165.689
4.0	165.464
5.0	165.190
6.0	164.865
7.0	164.491
8.0	164.067
9.0	163.593
10.0	163.070
11.0	162.497
12.0	161.876
13.0	161.205
14.0	160.485
15.0	159.717
16.0	158.901
17.0	158.037
18.0	157.124
19.0	156.165
20.0	155.158
21.0	154.104
22.0	153.003
23.0	151.856
24.0	150.664
25.0	149.425
26.0	148.142
27.0	146.814
28.0	145.441
29.0	144.024
30.0	142.564
31.0	141.061
32.0	139.515
33.0	137.927
34.0	136.298
35.0	134.627
36.0	132.915
37.0	131.163
38.0	129.372
39.0	127.542
40.0	125.673
41.0	123.766
42.0	121.822
43.0	119.841
44.0	117.823
45.0	115.771
46.0	113.683
47.0	111.561
48.0	109.405
49.0	107.217
50.0	104.996
51.0	102.743
52.0	100.460
53.0	98.146
54.0	95.803
55.0	93.431
56.0	91.030
57.0	88.603
58.0	86.148
59.0	83.668
60.0	81.162
61.0	78.633
62.0	76.079
63.0	73.503
64.0	70.905
65.0	68.285
66.0	65.645
67.0	62.985
68.0	60.307
69.0	57.610
70.0	54.896
71.0	52.166
72.0	49.420
73.0	46.660
74.0	43.885
75.0	41.098
76.0	38.298
77.0	35.488
78.0	32.666
79.0	29.835
80.0	26.995
81.0	24.148
82.0	21.293
83.0	18.432
84.0	15.566
85.0	12.696
86.0	9.822
87.0	6.945
88.0	4.067
89.0	1.187
90.0	-1.692
91.0	-4.571
92.0	-7.448
93.0	-10.322
94.0	-13.192
95.0	-16.059
96.0	-18.920
97.0	-21.775
98.0	-24.623
99.0	-27.463
100.0	-30.295
101.0	-33.117
102.0	-35.928
103.0	-38.729
104.0	-41.517
105.0	-44.292
106.0	-47.053
107.0	-49.800
108.0	-52.531
109.0	-55.246
110.0	-57.944
111.0	-60.623
112.0	-63.284
113.0	-65.926
114.0	-68.546
115.0	-71.146
116.0	-73.724
117.0	-76.279
118.0	-78.810
119.0	-81.317
120.0	-83.799
121.0	-86.255
122.0	-88.684
123.0	-91.086
124.0	-93.460
125.0	-95.805
126.0	-98.121
127.0	-100.406
128.0	-102.660
129.0	-104.883
130.0	-107.074
131.0	-109.231
132.0	-111.355
133.0	-113.445
134.0	-115.500
135.0	-117.519
136.0	-119.503
137.0	-121.449
138.0	-123.358
139.0	-125.229
140.0	-127.062
141.0	-128.856
142.0	-130.610
143.0	-132.324
144.0	-133.997
145.0	-135.630
146.0	-137.220
147.0	-138.769
148.0	-140.274
149.0	-141.737
150.0	-143.157
151.0	-144.532
152.0	-145.863
153.0	-147.149
154.0	-148.390
155.0	-149.585
156.0	-150.735
157.0	-151.838
158.0	-152.895
159.0	-153.905
160.0	-154.868
161.0	-155.783
162.0	-156.650
163.0	-157.469
164.0	-158.240
165.0	-158.963
166.0	-159.636
167.0	-160.261
168.0	-160.837
169.0	-161.363
170.0	-161.840
171.0	-162.267
172.0	-162.644
173.0	-162.972
174.0	-163.249
175.0	-163.477
176.0	-163.654
177.0	-163.781
178.0	-163.858
179.0	-163.885
180.0	-163.861
181.0	-163.787
182.0	-163.663
183.0	-163.489
184.0	-163.264
185.0	-162.990
186.0	-162.665
187.0	-162.291
188.0	-161.867
189.0	-161.393
190.0	-160.870
191.0	-160.297
192.0	-159.676
193.0	-159.005
194.0	-158.285
195.0	-157.517
196.0	-156.701
197.0	-155.837
198.0	-154.924
199.0	-153.965
200.0	-152.958
201.0	-151.904
202.0	-150.803
203.0	-149.656
204.0	-148.464
205.0	-147.225
206.0	-145.942
207.0	-144.614
208.0	-143.241
209.0	-141.824
210.0	-140.364
211.0	-138.861
212.0	-137.315
213.0	-135.727
214.0	-134.098
215.0	-132.427
216.0	-130.715
217.0	-128.963
218.0	-127.172
219.0	-125.342
220.0	-123.473
221.0	-121.566
222.0	-119.622
223.0	-117.641
224.0	-115.623
225.0	-113.571
226.0	-111.483
227.0	-109.361
228.0	-107.205
229.0	-105.017
230.0	-102.796
231.0	-100.543
232.0	-98.260
233.0	-95.946
234.0	-93.603
235.0	-91.231
236.0	-88.830
237.0	-86.403
238.0	-83.948
239.0	-81.468
240.0	-78.962
241.0	-76.433
242.0	-73.879
243.0	-71.303
244.0	-68.705
245.0	-66.085
246.0	-63.445
247.0	-60.785
248.0	-58.107
249.0	-55.410
250.0	-52.696
251.0	-49.966
252.0	-47.220
253.0	-44.460
254.0	-41.685
255.0	-38.898
256.0	-36.098
257.0	-33.288
258.0	-30.466
259.0	-27.635
260.0	-24.795
261.0	-21.948
262.0	-19.093
263.0	-16.232
264.0	-13.366
265.0	-10.496
266.0	-7.622
267.0	-4.745
268.0	-1.867
269.0	1.013
270.0	3.892
271.0	6.771
272.0	9.648
273.0	12.522
274.0	15.392
275.0	18.259
276.0	21.120
277.0	23.975
278.0	26.823
279.0	29.663
280.0	32.495
281.0	35.317
282.0	38.128
283.0	40.929
284.0	43.717
285.0	46.492
286.0	49.253
287.0	52.000
288.0	54.731
289.0	57.446
290.0	60.144
291.0	62.823
292.0	65.484
293.0	68.126
294.0	70.746
295.0	73.346
296.0	75.924
297.0	78.479
298.0	81.010
299.0	83.517
300.0	85.999
301.0	88.455
302.0	90.884
303.0	93.286
304.0	95.660
305.0	98.005
306.0	100.321
307.0	102.606
308.0	104.860
309.0	107.083
310.0	109.274
311.0	111.431
312.0	113.555
313.0	115.645
314.0	117.700
315.0	119.719
316.0	121.703
317.0	123.649
318.0	125.558
319.0	127.429
320.0	129.262
321.0	131.056
322.0	132.810
323.0	134.524
324.0	136.197
325.0	137.830
326.0	139.420
327.0	140.969
328.0	142.474
329.0	143.937
330.0	145.357
331.0	146.732
332.0	148.063
333.0	149.349
334.0	150.590
335.0	151.785
336.0	152.935
337.0	154.038
338.0	155.095
339.0	156.105
340.0	157.068
341.0	157.983
342.0	158.850
343.0	159.669
344.0	160.440
345.0	161.163
346.0	161.836
347.0	162.461
348.0	163.037
349.0	163.563
350.0	164.040
351.0	164.467
352.0	164.844
353.0	165.172
354.0	165.449
355.0	165.677
356.0	165.854
357.0	165.981
358.0	166.058
359.0	166.085
