角度(度)	位移(mm)	速度(mm/s)	加速度(mm/s²)	工作阻力(N)
0.0	166.061	-8.772	-1628.100	0.0
1.0	165.987	-17.815	-1627.371	0.0
2.0	165.863	-26.853	-1626.146	0.0
3.0	165.689	-35.882	-1624.426	0.0
4.0	165.464	-44.901	-1622.212	0.0
5.0	165.190	-53.906	-1619.503	0.0
6.0	164.865	-62.895	-1616.300	0.0
7.0	164.491	-71.864	-1612.606	0.0
8.0	164.067	-80.812	-1608.420	0.0
9.0	163.593	-89.734	-1603.744	0.0
10.0	163.070	-98.630	-1598.580	0.0
11.0	162.497	-107.496	-1592.929	0.0
12.0	161.876	-116.328	-1586.792	0.0
13.0	161.205	-125.126	-1580.173	0.0
14.0	160.485	-133.885	-1573.072	0.0
15.0	159.717	-142.603	-1565.491	0.0
16.0	158.901	-151.278	-1557.434	0.0
17.0	158.037	-159.907	-1548.903	0.0
18.0	157.124	-168.488	-1539.899	0.0
19.0	156.165	-177.016	-1530.427	0.0
20.0	155.158	-185.491	-1520.488	0.0
21.0	154.104	-193.910	-1510.086	0.0
22.0	153.003	-202.269	-1499.225	0.0
23.0	151.856	-210.567	-1487.906	0.0
24.0	150.664	-218.801	-1476.135	0.0
25.0	149.425	-226.968	-1463.913	0.0
26.0	148.142	-235.066	-1451.246	0.0
27.0	146.814	-243.092	-1438.137	0.0
28.0	145.441	-251.044	-1424.589	0.0
29.0	144.024	-258.920	-1410.608	0.0
30.0	142.564	-266.717	-1396.197	0.0
31.0	141.061	-274.432	-1381.361	0.0
32.0	139.515	-282.064	-1366.104	0.0
33.0	137.927	-289.611	-1350.431	0.0
34.0	136.298	-297.068	-1334.346	0.0
35.0	134.627	-304.436	-1317.855	0.0
36.0	132.915	-311.711	-1300.963	0.0
37.0	131.163	-318.890	-1283.674	6300.0
38.0	129.372	-325.973	-1265.994	6300.0
39.0	127.542	-332.956	-1247.929	6300.0
40.0	125.673	-339.838	-1229.483	6300.0
41.0	123.766	-346.616	-1210.663	6300.0
42.0	121.822	-353.289	-1191.474	6300.0
43.0	119.841	-359.854	-1171.923	6300.0
44.0	117.823	-366.310	-1152.014	6300.0
45.0	115.771	-372.654	-1131.754	6300.0
46.0	113.683	-378.884	-1111.150	6300.0
47.0	111.561	-384.999	-1090.207	6300.0
48.0	109.405	-390.997	-1068.932	6300.0
49.0	107.217	-396.876	-1047.332	6300.0
50.0	104.996	-402.634	-1025.412	6300.0
51.0	102.743	-408.269	-1003.180	6300.0
