角度(度),位移(mm),速度(mm/s),加速度(mm/s²),工作阻力(N),惯性力(N),驱动力矩(N·m)
0.0,166.061,-8.772,-1628.100,0.0,-81.405,-5.291325
1.0,165.987,-17.815,-1627.371,0.0,-81.369,-5.288956
2.0,165.863,-26.853,-1626.146,0.0,-81.307,-5.284976
3.0,165.689,-35.882,-1624.426,0.0,-81.221,-5.279386
4.0,165.464,-44.901,-1622.212,0.0,-81.111,-5.272188
5.0,165.190,-53.906,-1619.503,0.0,-80.975,-5.263384
6.0,164.865,-62.895,-1616.300,0.0,-80.815,-5.252977
7.0,164.491,-71.864,-1612.606,0.0,-80.630,-5.240969
8.0,164.067,-80.812,-1608.420,0.0,-80.421,-5.227365
9.0,163.593,-89.734,-1603.744,0.0,-80.187,-5.212169
10.0,163.070,-98.630,-1598.580,0.0,-79.929,-5.195385
11.0,162.497,-107.496,-1592.929,0.0,-79.646,-5.177019
12.0,161.876,-116.328,-1586.792,0.0,-79.340,-5.157076
13.0,161.205,-125.126,-1580.173,0.0,-79.009,-5.135561
14.0,160.485,-133.885,-1573.072,0.0,-78.654,-5.112483
15.0,159.717,-142.603,-1565.491,0.0,-78.275,-5.087847
16.0,158.901,-151.278,-1557.434,0.0,-77.872,-5.061661
17.0,158.037,-159.907,-1548.903,0.0,-77.445,-5.033934
18.0,157.124,-168.488,-1539.899,0.0,-76.995,-5.004673
19.0,156.165,-177.016,-1530.427,0.0,-76.521,-4.973887
20.0,155.158,-185.491,-1520.488,0.0,-76.024,-4.941587
21.0,154.104,-193.910,-1510.086,0.0,-75.504,-4.907781
22.0,153.003,-202.269,-1499.225,0.0,-74.961,-4.872480
23.0,151.856,-210.567,-1487.906,0.0,-74.395,-4.835695
24.0,150.664,-218.801,-1476.135,0.0,-73.807,-4.797438
25.0,149.425,-226.968,-1463.913,0.0,-73.196,-4.757718
26.0,148.142,-235.066,-1451.246,0.0,-72.562,-4.716550
27.0,146.814,-243.092,-1438.137,0.0,-71.907,-4.673945
28.0,145.441,-251.044,-1424.589,0.0,-71.229,-4.629916
29.0,144.024,-258.920,-1410.608,0.0,-70.530,-4.584476
30.0,142.564,-266.717,-1396.197,0.0,-69.810,-4.537641
31.0,141.061,-274.432,-1381.361,0.0,-69.068,-4.489423
32.0,139.515,-282.064,-1366.104,0.0,-68.305,-4.439837
33.0,137.927,-289.611,-1350.431,0.0,-67.522,-4.388899
34.0,136.298,-297.068,-1334.346,0.0,-66.717,-4.336625
35.0,134.627,-304.436,-1317.855,0.0,-65.893,-4.283029
36.0,132.915,-311.711,-1300.963,6300.0,-65.048,405.271872
37.0,131.163,-318.890,-1283.674,6300.0,-64.184,405.328060
38.0,129.372,-325.973,-1265.994,6300.0,-63.300,405.385519
39.0,127.542,-332.956,-1247.929,6300.0,-62.396,405.444232
40.0,125.673,-339.838,-1229.483,6300.0,-61.474,405.504179
41.0,123.766,-346.616,-1210.663,6300.0,-60.533,405.565345
42.0,121.822,-353.289,-1191.474,6300.0,-59.574,405.627708
43.0,119.841,-359.854,-1171.923,6300.0,-58.596,405.691251
44.0,117.823,-366.310,-1152.014,6300.0,-57.601,405.755955
45.0,115.771,-372.654,-1131.754,6300.0,-56.588,405.821798
46.0,113.683,-378.884,-1111.150,6300.0,-55.557,405.888763
47.0,111.561,-384.999,-1090.207,6300.0,-54.510,405.956827
