角度(度)	速度(mm/s)
0.0	-8.772
1.0	-17.815
2.0	-26.853
3.0	-35.882
4.0	-44.901
5.0	-53.906
6.0	-62.895
7.0	-71.864
8.0	-80.812
9.0	-89.734
10.0	-98.630
11.0	-107.496
12.0	-116.328
13.0	-125.126
14.0	-133.885
15.0	-142.603
16.0	-151.278
17.0	-159.907
18.0	-168.488
19.0	-177.016
20.0	-185.491
21.0	-193.910
22.0	-202.269
23.0	-210.567
24.0	-218.801
25.0	-226.968
26.0	-235.066
27.0	-243.092
28.0	-251.044
29.0	-258.920
30.0	-266.717
31.0	-274.432
32.0	-282.064
33.0	-289.611
34.0	-297.068
35.0	-304.436
36.0	-311.711
37.0	-318.890
38.0	-325.973
39.0	-332.956
40.0	-339.838
41.0	-346.616
42.0	-353.289
43.0	-359.854
44.0	-366.310
45.0	-372.654
46.0	-378.884
47.0	-384.999
48.0	-390.997
49.0	-396.876
50.0	-402.634
51.0	-408.269
52.0	-413.779
53.0	-419.164
54.0	-424.421
55.0	-429.549
56.0	-434.546
57.0	-439.410
58.0	-444.141
59.0	-448.736
60.0	-453.195
61.0	-457.516
62.0	-461.697
63.0	-465.738
64.0	-469.637
65.0	-473.392
66.0	-477.004
67.0	-480.470
68.0	-483.790
69.0	-486.963
70.0	-489.987
71.0	-492.862
72.0	-495.586
73.0	-498.160
74.0	-500.582
75.0	-502.852
76.0	-504.968
77.0	-506.931
78.0	-508.739
79.0	-510.393
80.0	-511.890
81.0	-513.232
82.0	-514.418
83.0	-515.446
84.0	-516.318
85.0	-517.033
86.0	-517.590
87.0	-517.989
88.0	-518.231
89.0	-518.314
90.0	-518.240
91.0	-518.008
92.0	-517.618
93.0	-517.071
94.0	-516.366
95.0	-515.504
96.0	-514.484
97.0	-513.308
98.0	-511.976
99.0	-510.488
100.0	-508.844
101.0	-507.045
102.0	-505.092
103.0	-502.985
104.0	-500.724
105.0	-498.311
106.0	-495.747
107.0	-493.031
108.0	-490.165
109.0	-487.150
110.0	-483.986
111.0	-480.675
112.0	-477.218
113.0	-473.615
114.0	-469.868
115.0	-465.978
116.0	-461.946
117.0	-457.773
118.0	-453.461
119.0	-449.011
120.0	-444.423
121.0	-439.701
122.0	-434.844
123.0	-429.855
124.0	-424.736
125.0	-419.486
126.0	-414.109
127.0	-408.606
128.0	-402.978
129.0	-397.228
130.0	-391.357
131.0	-385.366
132.0	-379.258
133.0	-373.035
134.0	-366.697
135.0	-360.249
136.0	-353.690
137.0	-347.024
138.0	-340.252
139.0	-333.376
140.0	-326.399
141.0	-319.322
142.0	-312.148
143.0	-304.879
144.0	-297.517
145.0	-290.065
146.0	-282.524
147.0	-274.897
148.0	-267.187
149.0	-259.395
150.0	-251.524
151.0	-243.576
152.0	-235.554
153.0	-227.460
154.0	-219.298
155.0	-211.068
156.0	-202.774
157.0	-194.418
158.0	-186.003
159.0	-177.531
160.0	-169.006
161.0	-160.429
162.0	-151.803
163.0	-143.130
164.0	-134.414
165.0	-125.658
166.0	-116.862
167.0	-108.032
168.0	-99.168
169.0	-90.274
170.0	-81.353
171.0	-72.407
172.0	-63.439
173.0	-54.451
174.0	-45.447
175.0	-36.429
176.0	-27.400
177.0	-18.363
178.0	-9.320
179.0	-0.274
180.0	8.772
181.0	17.815
182.0	26.853
183.0	35.882
184.0	44.901
185.0	53.906
186.0	62.895
187.0	71.864
188.0	80.812
189.0	89.734
190.0	98.630
191.0	107.496
192.0	116.328
193.0	125.126
194.0	133.885
195.0	142.603
196.0	151.278
197.0	159.907
198.0	168.488
199.0	177.016
200.0	185.491
201.0	193.910
202.0	202.269
203.0	210.567
204.0	218.801
205.0	226.968
206.0	235.066
207.0	243.092
208.0	251.044
209.0	258.920
210.0	266.717
211.0	274.432
212.0	282.064
213.0	289.611
214.0	297.068
215.0	304.436
216.0	311.711
217.0	318.890
218.0	325.973
219.0	332.956
220.0	339.838
221.0	346.616
222.0	353.289
223.0	359.854
224.0	366.310
225.0	372.654
226.0	378.884
227.0	384.999
228.0	390.997
229.0	396.876
230.0	402.634
231.0	408.269
232.0	413.779
233.0	419.164
234.0	424.421
235.0	429.549
236.0	434.546
237.0	439.410
238.0	444.141
239.0	448.736
240.0	453.195
241.0	457.516
242.0	461.697
243.0	465.738
244.0	469.637
245.0	473.392
246.0	477.004
247.0	480.470
248.0	483.790
249.0	486.963
250.0	489.987
251.0	492.862
252.0	495.586
253.0	498.160
254.0	500.582
255.0	502.852
256.0	504.968
257.0	506.931
258.0	508.739
259.0	510.393
260.0	511.890
261.0	513.232
262.0	514.418
263.0	515.446
264.0	516.318
265.0	517.033
266.0	517.590
267.0	517.989
268.0	518.231
269.0	518.314
270.0	518.240
271.0	518.008
272.0	517.618
273.0	517.071
274.0	516.366
275.0	515.504
276.0	514.484
277.0	513.308
278.0	511.976
279.0	510.488
280.0	508.844
281.0	507.045
282.0	505.092
283.0	502.985
284.0	500.724
285.0	498.311
286.0	495.747
287.0	493.031
288.0	490.165
289.0	487.150
290.0	483.986
291.0	480.675
292.0	477.218
293.0	473.615
294.0	469.868
295.0	465.978
296.0	461.946
297.0	457.773
298.0	453.461
299.0	449.011
300.0	444.423
301.0	439.701
302.0	434.844
303.0	429.855
304.0	424.736
305.0	419.486
306.0	414.109
307.0	408.606
308.0	402.978
309.0	397.228
310.0	391.357
311.0	385.366
312.0	379.258
313.0	373.035
314.0	366.697
315.0	360.249
316.0	353.690
317.0	347.024
318.0	340.252
319.0	333.376
320.0	326.399
321.0	319.322
322.0	312.148
323.0	304.879
324.0	297.517
325.0	290.065
326.0	282.524
327.0	274.897
328.0	267.187
329.0	259.395
330.0	251.524
331.0	243.576
332.0	235.554
333.0	227.460
334.0	219.298
335.0	211.068
336.0	202.774
337.0	194.418
338.0	186.003
339.0	177.531
340.0	169.006
341.0	160.429
342.0	151.803
343.0	143.130
344.0	134.414
345.0	125.658
346.0	116.862
347.0	108.032
348.0	99.168
349.0	90.274
350.0	81.353
351.0	72.407
352.0	63.439
353.0	54.451
354.0	45.447
355.0	36.429
356.0	27.400
357.0	18.363
358.0	9.320
359.0	0.274
